Name,Link,ID
Get Thrifty UBC,https://amsclubs.ca/get-thrifty-ubc/,124
AMS Girls in STEAM @ UBC,https://amsclubs.ca/girls-in-steam/,125
Golden Voices,https://amsclubs.ca/golden-voices/,126
AMS Greek Student Association (GreekSA) at UBC,https://amsclubs.ca/greek-student-association/,127
UBC Heart and Stroke Foundation,https://amsclubs.ca/heart-and-stroke-foundation/,128
AMS Hindu Yuva,https://amsclubs.ca/hindu-yuva/,129
Hong Kong YOURS Association,https://amsclubs.ca/hong-kong-yours-association/,130
Science One Survivor,https://amsclubs.ca/science-one-survivor/,131
Hope to House Awareness Initiative at UBC,https://amsclubs.ca/hopetohouse-awareness-initiative/,132
AMS Humanities in Healthcare at UBC,https://amsclubs.ca/humanities-in-healthcare/,133
IRES Student Society,https://amsclubs.ca/ires-student-society/,134
Integrated Engineering Student Association,https://amsclubs.ca/integrated-engineering-student-association/,135
International Relations Students' Association,https://amsclubs.ca/international-relations-students-association/,136
Israel on Campus (IOC),https://amsclubs.ca/israel-on-campus/,137
Jack.Org at UBC,https://amsclubs.ca/jackorg/,138
UBC Japan Association,https://amsclubs.ca/japan-association/,139
UBC Japan Career Network,https://amsclubs.ca/japan-career-network/,140
Jesus Disciple Movement,https://amsclubs.ca/jesus-disciple-movement/,141
Jewish Students Association,https://amsclubs.ca/jewish-students-association/,142
UBC Kababayan: Filipino Student's Association,https://amsclubs.ca/filipino-students-association/,143
Karvan Iranian Student Association,https://amsclubs.ca/karvan-iranian-student-association/,144
UBC Kendo Club,https://amsclubs.ca/kendo-club/,145
Korean Campus Mission at University of British Columbia (KCM-UBC),https://amsclubs.ca/korean-campus-mission/,146
Korean Commerce Student Association,https://amsclubs.ca/korean-commerce-student-association/,147
Landscape Architecture Student Association (LASA),https://amsclubs.ca/landscape-architecture-student-association/,148
AMS Lighthouse Ministries at UBC,https://amsclubs.ca/lighthouse-ministries/,149
AMS Malayali Students Association,https://amsclubs.ca/malayali-students-association/,150
Materials Engineering Undergraduate Club,https://amsclubs.ca/materials-engineering-undergraduate-club/,151
Mechanical Engineering Club,https://amsclubs.ca/mechanical-engineering-club/,152
Microbiology and Immunology Students Association (MISA),https://amsclubs.ca/microbiology-and-immunology-student-association/,153
AMS Middle East Indian Students' Association at UBC,https://amsclubs.ca/middle-east-indian-students-association/,154
Midwifery Student's Association,https://amsclubs.ca/midwifery-students-association/,155
AMS Mindfulness Meditation Community at UBC,https://amsclubs.ca/mindfulness-meditation-community/,156
Model United Nations Student Association,https://amsclubs.ca/model-united-nations-student-association/,157
Motion UBC,https://amsclubs.ca/motion/,158
AMS Music Production Club at UBC,https://amsclubs.ca/music-production-club/,159
MusicBox Children's Charity,https://amsclubs.ca/musicbox-childrens-charity/,160
Muslim Students' Association of UBC,https://amsclubs.ca/muslim-students-association/,161
New Taiwanese Generation,https://amsclubs.ca/new-taiwanese-generation/,162
Occupational Therapy Student Society,https://amsclubs.ca/occupational-therapy-student-society/,163
Parkinson's and Alzheimers Targeted Hope and Support,https://amsclubs.ca/parkinsons-and-alzheimers-targeted-hope-and-support/,164
UBC Persian Club,https://amsclubs.ca/persian-club/,165
Pharmacology and CAPS Student Association,https://amsclubs.ca/pharmacology-and-caps/,166
Phi Delta Epsilon Pre-Medical Fraternity,https://amsclubs.ca/phi-delta-epsilon-premedical-fraternity/,167
Philosophy Students Association,https://amsclubs.ca/philosophy-students-association/,168
UBC AMS PHOTOGRAPHIC SOCIETY,https://amsclubs.ca/photographic-society/,169
Physical Therapy Student Society,https://amsclubs.ca/physical-therapy-student-society/,170
Planetary Health Club,https://amsclubs.ca/planetary-health-club/,171
UBC Players Club,https://amsclubs.ca/players-club/,172
AMS Poker Club,https://amsclubs.ca/poker-club/,173
Power to Change,https://amsclubs.ca/power-to-change/,174
Powwow Collective,https://amsclubs.ca/powwow-collective/,175
AMS Pre-Dental Society at UBC,https://amsclubs.ca/predental-society/,176
UBC Pre-Law Association,https://amsclubs.ca/pre-law-association/,177
Pre-Veterinary and Animal Welfare Club,https://amsclubs.ca/pre-veterinary-and-animal-welfare-club/,178
UBC Psychedelic Society,https://amsclubs.ca/psychedelic-society/,179
Psychology Students' Association,https://amsclubs.ca/psychology-students-association/,180
Readers Club,https://amsclubs.ca/readers/,181
UBC Red Cross Club,https://amsclubs.ca/red-cross-club/,182
Right to Play UBC,https://amsclubs.ca/right-to-play/,183
Romance Studies Students Association,https://amsclubs.ca/romance-studies-students-association/,184
Roots on the Roof,https://amsclubs.ca/roots-on-roof/,185
Rotaract Club of Vancouver-UBC,https://amsclubs.ca/rotaract-club-of-vancouver/,186
Russian Speaking Student Community of the AMS,https://amsclubs.ca/russing-speaking-student-community/,187
UBC SISU,https://amsclubs.ca/sisu/,188
STEM Fellowship,https://amsclubs.ca/stem-fellowship/,189
UBC Science Fiction & Fantasy Society,https://amsclubs.ca/science-fiction-and-fantasy-society/,190
Seri Malaysia Club,https://amsclubs.ca/seri-malaysia-club/,191
AMS Shito-Ryu Sato-Kai Karate Club at UBC,https://amsclubs.ca/shito-ryu-sato-kai-karate-club/,192
AMS Signs @ UBC (club code is 495),https://amsclubs.ca/signs-at-ubc/,193
Singapore Students' Association,https://amsclubs.ca/singapore-students-association/,194
Speech and Linguistics Student Association,https://amsclubs.ca/speech-and-linguistics-student-association/,195
AMS Sports Car Club at UBC,https://amsclubs.ca/sports-car-club/,196
Sri Lankan Students Association,https://amsclubs.ca/sri-lankan-students-association/,197
Student Association of Sinology,https://amsclubs.ca/student-association-of-sinology/,198
AMS Ceili Club at UBC,https://amsclubs.ca/ceili-club/,199
AMS Central Asian Student Union (CASU) at UBC,https://amsclubs.ca/central-asian-student-union/,200
AMS Climate Justice at UBC,https://amsclubs.ca/climate-justice/,201
AMS Colombian Student Association at UBC,https://amsclubs.ca/colombian-student-association/,202
AMS Columbia Student Association,https://amsclubs.ca/columbia-student-association/,203
AMS Content Creators Club @ UBC,https://amsclubs.ca/content-creators-club/,204
AMS Crohn's and Colitis Canada @UBC,https://amsclubs.ca/crohn-and-colitis-canada/,205
AMS DEVEC at UBC,https://amsclubs.ca/devec/,206
Arts Co-op Student Association,https://amsclubs.ca/arts-coop-student-association/,207
AMS Tea Ceremony Club at UBC,https://amsclubs.ca/tea-ceremony-club/,208
UBC Thai Aiyara,https://amsclubs.ca/thai-aiyara/,209
Thaqalayn Muslim Association (TMA),https://amsclubs.ca/thaqalayn-muslim-association/,210
The Aviary Climbing Club,https://amsclubs.ca/aviary-climbing-club/,211
The Manufacturing Engineering Undergraduate Club of the University of British Columbia,https://amsclubs.ca/manufacturing-engineering-undergraduate-club/,212
The Navigators,https://amsclubs.ca/navigators/,213
The Salsa Rueda Club,https://amsclubs.ca/salsa-rueda/,214
The UBC Astronomy Club,https://amsclubs.ca/astronomy-club/,215
The UBC Birding Club,https://amsclubs.ca/birding-club/,216
The UBC Engineering Physics Student Association,https://amsclubs.ca/engineering-physics-student-association/,217
The UBC Pottery Club,https://amsclubs.ca/pottery-club/,218
UBC Third World Eye Care Society,https://amsclubs.ca/third-world-eye-care-society/,219
Thunderbird Dance Team,https://amsclubs.ca/thunderbird-dance-team/,220
Thunderbird Marching Band,https://amsclubs.ca/thunderbird-marching-band/,221
UBC Trading Group,https://amsclubs.ca/trading-group/,222
UBC AMS Triathlon Club,https://amsclubs.ca/triathlon-club/,223
